Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Costs_M
19.0,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,no,no,no,no,3.0,yes,no,no,yes,no,173000.0,50400.0,158057.0,15.9,-1981.0,-111.0,255884.0,James D. Farley Jr.,U.S.,Dearborn,MI,www.ford.com,Public,"Market value as of July 17, 2023.",56371.0,2023-08-02,160038.0
20.0,Home Depot,HD,Retailing,Specialty Retailers: Other,yes,no,no,no,-3.0,no,yes,no,yes,no,471600.0,299534.0,157403.0,4.1,17105.0,4.1,76445.0,Edward P. Decker,U.S.,Atlanta,GA,www.homedepot.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",317749.0,2023-08-02,
21.0,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,yes,yes,4.0,yes,no,no,yes,no,167000.0,51155.0,156735.0,23.4,9934.0,-0.8,264037.0,Mary T. Barra,U.S.,Detroit,MI,www.gm.com,Public,"Market value as of July 17, 2023.",53867.0,2023-08-02,
22.0,Elevance Health,ELV,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,-2.0,no,yes,no,yes,yes,102300.0,109098.0,156595.0,13.0,6025.0,-1.3,102772.0,Gail K. Boudreaux,U.S.,Indianapolis,IN,www.elevancehealth.com,Public,"Market value as of July 17, 2023.",103634.0,2023-08-02,
23.0,JPMorgan Chase,JPM,Financials,Commercial Banks,yes,no,no,yes,1.0,yes,no,no,yes,no,293723.0,383549.0,154792.0,21.7,37676.0,-22.1,3665743.0,James Dimon,U.S.,New York,NY,www.jpmorganchase.com,Public,"Market value as of July 17, 2023.",448221.0,2023-08-02,
24.0,Kroger,KR,Food & Drug Stores,Food and Drug Stores,yes,no,no,yes,-3.0,no,yes,no,yes,no,430000.0,35421.0,,7.5,2244.0,35.6,49623.0,W. Rodney McMullen,U.S.,Cincinnati,OH,www.thekrogerco.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",33404.0,2023-08-02,146014.0
25.0,Centene,CNC,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,1.0,yes,no,no,yes,no,74300.0,34810.0,144547.0,14.7,1202.0,-10.8,76870.0,Sarah M. London,U.S.,St. Louis,MO,www.centene.com,Public,"Market value as of July 17, 2023.",35708.0,2023-08-02,143345.0
26.0,Verizon Communications,VZ,Telecommunications,Telecommunications,yes,no,no,no,-3.0,no,yes,no,yes,no,117100.0,163333.0,136835.0,2.4,21256.0,-3.7,379680.0,Hans E. Vestberg,U.S.,New York,NY,www.verizon.com,Public,"Market value as of July 17, 2023.",132258.0,2023-08-02,
27.0,Walgreens Boots Alliance,WBA,-,Food and Drug Stores,yes,no,yes,yes,-9.0,no,yes,no,yes,no,262500.0,29836.0,132703.0,-10.7,4337.0,70.6,90124.0,Ginger Graham,U.S.,Deerfield,IL,www.walgreensbootsalliance.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",25138.0,2023-08-02,
28.0,Fannie Mae,FNMA,Financials,Diversified Financials,yes,no,yes,yes,5.0,yes,no,no,yes,no,8000.0,475.0,121596.0,19.7,,-41.7,4305288.0,Priscilla Almodovar,U.S.,Washington,DC,www.fanniemae.com,Public,"Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 17, 2023.",2541.0,2023-08-02,
29.0,Comcast,CMCSA,Telecommunications,Telecommunications,yes,no,no,no,-1.0,no,yes,no,yes,yes,186000.0,159831.0,121427.0,4.3,5370.0,-62.1,257275.0,Brian L. Roberts,U.S.,Philadelphia,PA,www.comcastcorporation.com,Public,"Market value as of July 17, 2023.",175466.0,2023-08-02,
30.0,AT&T,T,Telecommunications,Telecommunications,no,no,no,no,-17.0,no,yes,no,yes,no,160700.0,137250.0,120741.0,-28.5,,-142.4,402853.0,John T. Stankey,U.S.,Dallas,TX,www.att.com,Public,"Market value as of July 17, 2023.",96726.0,2023-08-02,
31.0,Meta Platforms,META,Technology,Internet Services and Retailing,yes,yes,no,yes,-4.0,no,yes,no,yes,no,86482.0,549484.0,,-1.1,23200.0,-41.1,185727.0,Mark Zuckerberg,U.S.,Menlo Park,CA,investor.fb.com,Public,"Market value as of July 17, 2023.",796036.0,2023-08-02,93409.0
32.0,Bank of America,BAC,Financials,Commercial Banks,yes,no,no,yes,4.0,yes,no,no,yes,yes,216823.0,228780.0,115053.0,22.6,27528.0,-13.9,3051375.0,Brian T. Moynihan,U.S.,Charlotte,NC,www.bankofamerica.com,Public,"Market value as of July 17, 2023.",234293.0,2023-08-02,
33.0,Target,TGT,Retailing,General Merchandisers,yes,no,no,no,-1.0,no,yes,no,yes,yes,440000.0,76250.0,109120.0,2.9,2780.0,-60.0,53335.0,Brian C. Cornell,U.S.,Minneapolis,MN,www.target.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",60007.0,2023-08-02,
34.0,Dell Technologies,DELL,Technology,"Computers, Office Equipment",yes,yes,no,no,-3.0,no,yes,no,yes,no,133000.0,29402.0,102301.0,-4.4,2442.0,-56.1,89611.0,Michael S. Dell,U.S.,Round Rock,TX,www.delltechnologies.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",39780.0,2023-08-02,
35.0,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,3.0,yes,no,no,yes,no,41181.0,43530.0,101556.0,19.1,,60.2,59774.0,Juan R. Luciano,U.S.,Chicago,IL,www.adm.com,Public,"Market value as of July 17, 2023.",43331.0,2023-08-02,
36.0,Citigroup,C,Financials,Commercial Banks,yes,no,yes,yes,8.0,yes,no,no,yes,no,238104.0,91270.0,101078.0,26.6,,-32.4,2416676.0,Jane Fraser,U.S.,New York,NY,www.citigroup.com,Public,"Market value as of July 17, 2023.",89592.0,2023-08-02,86233.0
37.0,United Parcel Service,UPS,Transportation,"Mail, Package, and Freight Delivery",yes,no,yes,yes,-3.0,no,yes,no,yes,no,404700.0,166189.0,100338.0,3.1,11548.0,-10.4,71124.0,Carol B. Tomé,U.S.,Atlanta,GA,www.ups.com,Public,"Market value as of July 17, 2023.",156953.0,2023-08-02,
,Pfizer,PFE,Health Care,Pharmaceuticals,yes,no,no,yes,5.0,yes,no,no,yes,no,83000.0,230292.0,100330.0,23.4,31372.0,42.7,197205.0,Albert Bourla,U.S.,New York,NY,www.pfizer.com,Public,"Market value as of July 17, 2023.",202441.0,2023-08-02,
,Lowe's,LOW,Retailing,Specialty Retailers: Other,yes,no,no,no,-4.0,no,yes,no,yes,no,244500.0,119253.0,97059.0,0.8,6437.0,-23.8,43708.0,Marvin R. Ellison,U.S.,Mooresville,NC,www.lowes.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",133586.0,2023-08-02,90622.0
40.0,Johnson & Johnson,JNJ,-,Pharmaceuticals,yes,no,no,yes,-3.0,no,yes,no,yes,no,152700.0,483576.0,,1.2,17941.0,-14.1,187378.0,Joaquin Duato,U.S.,New Brunswick,NJ,www.jnj.com,Public,"Market value as of July 17, 2023.",413381.0,2023-08-02,
41.0,FedEx,FDX,Transportation,"Mail, Package, and Freight Delivery",yes,no,no,no,-2.0,no,yes,no,yes,no,464400.0,57431.0,93512.0,11.4,3826.0,-26.9,85994.0,Rajesh Subramaniam,U.S.,Memphis,TN,www.fedex.com,Public,"Figures are for fiscal year ended May 31, 2022. Market value as of July 17, 2023.",63985.0,2023-08-02,
42.0,Humana,HUM,Health Care,Health Care: Insurance and Managed Care,yes,no,no,no,-2.0,no,yes,no,yes,no,67100.0,60719.0,92870.0,11.8,2806.0,-4.3,43055.0,Bruce D. Broussard,U.S.,Louisville,KY,www.humana.com,Public,"Market value as of July 17, 2023.",54277.0,2023-08-02,
43.0,Energy Transfer,ET,Energy,Pipelines,yes,no,no,yes,11.0,yes,no,no,yes,no,12565.0,38590.0,89876.0,33.3,,-13.1,105643.0,Thomas E. Long/Marshall S. McCrea III,U.S.,Dallas,TX,www.energytransfer.com,Public,"A partnership. Market value as of July 17, 2023.",40742.0,2023-08-02,
44.0,State Farm Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,-2.0,no,yes,no,yes,no,60519.0,,89328.0,8.6,-6654.0,-619.5,318243.0,Michael L. Tipsord,U.S.,Bloomington,IL,www.statefarm.com,Private,,,2023-08-02,95982.0
45.0,Freddie Mac,FMCC,Financials,Diversified Financials,yes,no,no,yes,11.0,yes,no,no,yes,no,7819.0,266.0,86717.0,31.6,9327.0,-23.0,3208333.0,Michael J. DeVito,U.S.,McLean,VA,www.freddiemac.com,Public,"Company&#039;s senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 17, 2023.",1429.0,2023-08-02,77390.0
46.0,PepsiCo,PEP,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,-1.0,no,yes,no,yes,no,315000.0,251085.0,86392.0,8.7,8910.0,17.0,92187.0,Ramon L. Laguarta,U.S.,Purchase,NY,www.pepsico.com,Public,"Market value as of July 17, 2023.",255535.0,2023-08-02,
47.0,Wells Fargo,WFC,Financials,Commercial Banks,yes,no,no,no,-6.0,no,yes,no,yes,no,238000.0,141188.0,82859.0,0.5,13182.0,-38.8,1881016.0,Charles W. Scharf,U.S.,San Francisco,CA,www.wellsfargo.com,Public,"Market value as of July 17, 2023.",164093.0,2023-08-02,69677.0
48.0,Walt Disney,DIS,Media,Entertainment,yes,no,no,yes,5.0,yes,no,no,yes,no,195800.0,182920.0,82722.0,22.7,,57.6,203631.0,Robert A. Iger,U.S.,Burbank,CA,www.thewaltdisneycompany.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",156344.0,2023-08-02,
49.0,ConocoPhillips,COP,Energy,"Mining, Crude-Oil Production",yes,no,no,no,28.0,yes,no,no,yes,no,9500.0,120777.0,82156.0,69.9,18680.0,131.2,93829.0,Ryan M. Lance,U.S.,Houston,TX,www.conocophillips.com,Public,"Market value as of July 17, 2023.",128992.0,2023-08-02,
50.0,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,yes,no,yes,15.0,yes,no,no,yes,no,127855.0,656425.0,81462.0,51.4,12556.0,127.5,82338.0,Elon Musk,U.S.,Austin,TX,www.tesla.com,Public,"Market value as of July 17, 2023.",920361.0,2023-08-02,
51.0,Procter & Gamble,PG,Household Products,Household and Personal Products,yes,no,no,yes,-4.0,no,yes,no,yes,no,106000.0,350781.0,80187.0,5.3,14742.0,3.0,117208.0,Jon R. Moeller,U.S.,Cincinnati,OH,www.pg.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",351165.0,2023-08-02,
52.0,General Electric,GE,Industrials,Industrial Machinery,yes,no,no,yes,-4.0,no,yes,no,yes,no,172000.0,104231.0,76555.0,3.2,225.0,,187788.0,H. Lawrence Culp Jr.,U.S.,Boston,MA,www.ge.com,Public,"Market value as of July 17, 2023.",121027.0,2023-08-02,
53.0,Albertsons,ACI,Food & Drug Stores,Food and Drug Stores,yes,no,no,no,-1.0,no,yes,no,yes,no,195750.0,11132.0,71887.0,3.2,1620.0,90.5,28123.0,Vivek Sankaran,U.S.,Boise,ID,www.albertsonscompanies.com,Public,"Figures are for fiscal year ended Feb. 28, 2023. Market value as of July 17, 2023.",12664.0,2023-08-02,
54.0,MetLife,MET,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-4.0,no,yes,no,yes,yes,45000.0,44867.0,69898.0,-1.7,2539.0,-61.3,666611.0,Michel A. Khalaf,U.S.,New York,NY,www.metlife.com,Public,"Market value as of July 17, 2023.",45183.0,2023-08-02,
55.0,Goldman Sachs Group,GS,Financials,Commercial Banks,yes,no,no,yes,2.0,yes,no,no,yes,no,48500.0,113964.0,,5.7,11261.0,-48.0,1441799.0,David M. Solomon,U.S.,New York,NY,www.goldmansachs.com,Public,"Market value as of July 17, 2023.",113555.0,2023-08-02,
56.0,Sysco,SYY,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,14.0,yes,no,no,yes,no,70510.0,39202.0,68636.0,33.8,1359.0,159.2,22086.0,Kevin P. Hourican,U.S.,Houston,TX,www.sysco.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",37196.0,2023-08-02,
57.0,RTX,RTX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,1.0,yes,no,no,yes,no,182000.0,143292.0,67074.0,4.2,,34.5,158864.0,Gregory J. Hayes,U.S.,Arlington,VA,www.rtx.com,Public,"Changed name from Raytheon Technologies, July 17, 2023. Market value as of July 17, 2023.",140737.0,2023-08-02,61877.0
58.0,Boeing,BA,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,2.0,yes,no,no,yes,no,156000.0,127283.0,66608.0,6.9,-4935.0,,137100.0,David L. Calhoun,U.S.,Arlington,VA,www.boeing.com,Public,"Market value as of July 17, 2023.",127460.0,2023-08-02,71543.0
59.0,StoneX Group,SNEX,Financials,Diversified Financials,yes,no,no,yes,28.0,yes,no,no,yes,no,3615.0,2138.0,66036.0,55.3,207.0,78.1,19860.0,Sean M. O&#039;Connor,U.S.,New York,NY,www.stonex.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Company reports sale of physical commodities on a gross basis. Market value as of July 17, 2023.",1852.0,2023-08-02,
60.0,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,-5.0,no,yes,no,yes,no,116000.0,120319.0,,-1.6,5732.0,-9.2,52880.0,James D. Taiclet Jr.,U.S.,Bethesda,MD,www.lockheedmartin.com,Public,"Market value as of July 17, 2023.",119021.0,2023-08-02,
61.0,Morgan Stanley,MS,Financials,Commercial Banks,yes,no,no,yes,0.0,no,no,no,yes,no,82427.0,147674.0,65936.0,7.9,11029.0,-26.6,1180231.0,James P. Gorman,U.S.,New York,NY,www.morganstanley.com,Public,"Market value as of July 17, 2023.",144248.0,2023-08-02,54907.0
62.0,Intel,INTC,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-16.0,no,yes,no,yes,no,131900.0,136268.0,63054.0,-20.2,8014.0,-59.7,182103.0,Patrick P. Gelsinger,U.S.,Santa Clara,CA,www.intel.com,Public,"Market value as of July 17, 2023.",143357.0,2023-08-02,55040.0
63.0,HP,HPQ,Technology,"Computers, Office Equipment",yes,no,no,yes,-4.0,no,yes,no,yes,yes,58000.0,28919.0,62983.0,-0.8,3203.0,-50.7,38587.0,Enrique J. Lores,U.S.,Palo Alto,CA,www.hp.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of July 17, 2023.",32359.0,2023-08-02,59780.0
64.0,TD Synnex,SNX,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,yes,45.0,yes,no,no,yes,no,28500.0,9061.0,,97.2,651.0,64.9,29734.0,Richard T. Hume,U.S.,Fremont,CA,www.tdsynnex.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of July 17, 2023.",9199.0,2023-08-02,
65.0,IBM,IBM,Technology,Information Technology Services,yes,no,no,yes,-16.0,no,yes,no,yes,no,303100.0,118913.0,60530.0,-16.3,1639.0,-71.5,127243.0,Arvind Krishna,U.S.,Armonk,NY,www.ibm.com,Public,"Market value as of July 17, 2023.",121896.0,2023-08-02,58891.0
66.0,HCA Healthcare,HCA,Health Care,Health Care: Medical Facilities,yes,no,no,yes,-4.0,no,yes,no,yes,no,250500.0,73107.0,60233.0,2.5,,-18.9,52438.0,Samuel N. Hazen,U.S.,Nashville,TN,www.hcahealthcare.com,Public,"Market value as of July 17, 2023.",80317.0,2023-08-02,54590.0
67.0,Prudential Financial,PRU,Financials,"Insurance: Life, Health (stock)",no,no,no,no,-16.0,no,yes,no,yes,no,39583.0,30363.0,,-15.3,,-118.6,689917.0,Charles F. Lowrey,U.S.,Newark,NJ,www.prudential.com,Public,"Market value as of July 17, 2023.",33763.0,2023-08-02,
68.0,Caterpillar,CAT,Industrials,Construction and Farm Machinery,yes,no,no,yes,5.0,yes,no,no,yes,no,109100.0,118161.0,,16.6,6705.0,3.3,81943.0,D. James Umpleby III,U.S.,Irving,TX,www.caterpillar.com,Public,"Market value as of July 17, 2023.",132683.0,2023-08-02,
69.0,Merck,MRK,Health Care,Pharmaceuticals,yes,no,no,yes,2.0,yes,no,no,yes,yes,68000.0,270081.0,59283.0,15.8,14519.0,11.3,109160.0,Robert M. Davis,U.S.,Rahway,NJ,www.merck.com,Public,"Market value as of July 17, 2023.",267877.0,2023-08-02,
70.0,World Kinect,WKC,Energy,Energy,yes,no,no,yes,41.0,yes,no,no,yes,no,5214.0,1585.0,59043.0,88.4,,54.8,8165.0,Michael J. Kasbar,U.S.,Miami,FL,www.world-kinect.com,Public,"Changed name from World Fuel Services, June 16, 2023. Market value as of July 17, 2023.",1377.0,2023-08-02,
,New York Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",no,no,no,yes,1.0,yes,no,no,yes,no,15050.0,,,14.2,,-506.6,392126.0,Craig DeSanto,U.S.,New York,NY,www.newyorklife.com,Private,,,2023-08-02,
72.0,Enterprise Products Partners,EPD,Energy,Pipelines,yes,no,no,yes,17.0,yes,no,no,yes,no,7300.0,56224.0,58186.0,42.6,5490.0,18.4,68108.0,A. James Teague/W. Randall Fowler,U.S.,Houston,TX,www.enterpriseproducts.com,Public,"A partnership. Market value as of July 17, 2023.",58016.0,2023-08-02,
73.0,AbbVie,ABBV,Health Care,Pharmaceuticals,yes,no,no,no,-10.0,no,yes,no,yes,yes,50000.0,281151.0,58054.0,3.3,11836.0,2.5,138805.0,Richard A. Gonzalez,U.S.,North Chicago,IL,www.abbvie.com,Public,"Market value as of July 17, 2023.",237879.0,2023-08-02,
74.0,Plains GP Holdings,PAGP,Energy,Pipelines,yes,no,no,no,14.0,yes,no,no,yes,no,4100.0,2551.0,57342.0,36.3,168.0,180.0,29207.0,Wilfred C.W. Chiang,U.S.,Houston,TX,www.plains.com,Public,"A partnership. Market value as of July 17, 2023.",2953.0,2023-08-02,
75.0,Dow,DOW,Chemicals,Chemicals,yes,no,no,yes,-11.0,no,yes,no,yes,yes,37800.0,38812.0,56902.0,3.5,4582.0,-27.4,60603.0,James R. Fitterling,U.S.,Midland,MI,www.dow.com,Public,"Market value as of July 17, 2023.",37120.0,2023-08-02,52320.0
76.0,American International Group,AIG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-9.0,no,yes,no,yes,no,26200.0,36948.0,56437.0,8.4,10276.0,9.5,526634.0,Peter S. Zaffino,U.S.,New York,NY,www.aig.com,Public,"Market value as of July 17, 2023.",42774.0,2023-08-02,
77.0,American Express,AXP,Financials,Diversified Financials,yes,no,no,yes,8.0,yes,no,no,yes,yes,77300.0,122734.0,,27.4,7514.0,-6.8,228354.0,Stephen J. Squeri,U.S.,New York,NY,www.americanexpress.com,Public,"Market value as of July 17, 2023.",130357.0,2023-08-02,
,Publix Super Markets,,Food & Drug Stores,Food and Drug Stores,yes,no,no,yes,-2.0,no,yes,no,yes,yes,242000.0,,54942.0,13.5,2918.0,-33.9,31047.0,Randall T. Jones Sr.,U.S.,Lakeland,FL,www.publix.com,Private,,,2023-08-02,
79.0,Charter Communications,CHTR,Telecommunications,Telecommunications,yes,no,no,yes,-10.0,no,yes,no,yes,no,101700.0,60477.0,54022.0,4.5,5055.0,8.6,144523.0,Christopher L. Winfrey,U.S.,Stamford,CT,www.charter.com,Public,"Market value as of July 17, 2023.",65666.0,2023-08-02,
80.0,Tyson Foods,TSN,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,1.0,yes,no,no,yes,no,142000.0,21096.0,53282.0,13.2,3238.0,6.3,36821.0,Donnie D. King,U.S.,Springdale,AR,www.tysonfoods.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",18449.0,2023-08-02,
81.0,Deere,DE,Industrials,Construction and Farm Machinery,yes,no,no,yes,3.0,yes,no,no,yes,no,82239.0,122346.0,52577.0,19.4,7131.0,19.6,90030.0,John C. May,U.S.,Moline,IL,www.deere.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of July 17, 2023.",123317.0,2023-08-02,
82.0,Cisco Systems,CSCO,Technology,Network and Other Communications Equipment,yes,no,no,yes,-8.0,no,yes,no,yes,yes,83300.0,214109.0,51557.0,3.5,11812.0,11.5,94002.0,Charles H. Robbins,U.S.,San Jose,CA,www.cisco.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of July 17, 2023.",207054.0,2023-08-02,
83.0,Nationwide,,Financials,Insurance: Property and Casualty (Mutual),yes,no,no,yes,-3.0,no,yes,no,yes,yes,24791.0,,51450.0,8.6,,-38.9,264511.0,Kirt A. Walker,U.S.,Columbus,OH,www.nationwide.com,Private,,,2023-08-02,
